Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,location
-66,-87,-53,-86,-57,-72,-57,6
-54,-90,-48,-85,-40,-70,-27,6
-78,0,-40,0,-87,-69,-83,2
-85,0,-56,0,-87,-66,-90,2
-72,-83,-78,-86,-61,-81,-62,5
-39,-75,-55,-73,-59,-64,-61,6
-90,0,-60,0,-87,-66,-90,2
-69,-64,-57,-92,-83,-56,-82,3
-38,-78,-58,-80,-63,-60,-63,6
-62,-65,-73,-42,-75,-60,-80,4
-80,0,-72,0,0,-35,0,1
-65,-83,-78,-80,-57,-81,-58,5
-66,-83,-78,-80,-60,-74,-59,5
-66,-87,-54,-78,-56,-63,-46,6
-71,-83,-78,-80,-57,-80,-58,5
-74,-64,-71,-80,-77,-38,-81,3
-72,-64,-56,-92,-89,-40,-90,3
-65,-83,-78,-80,-60,-76,-58,5
-89,0,-50,0,-87,-66,-90,2
-84,0,-72,0,0,-35,0,1
-71,-64,-77,-92,-90,-35,-86,3
-54,-78,-56,-68,-63,-53,-64,6
-81,0,-55,0,-87,-68,-86,2
-63,-85,-78,-78,-70,-80,-65,5
-36,-70,-52,-60,-59,-63,-60,6
-92,0,-84,0,0,-51,0,1
-72,-64,-79,-80,-77,-37,-80,3
-55,-69,-71,-63,-71,-60,-76,4
